dt	Mode	dhsl	pCa
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
0.001	-2	0	6.3
